Cmax	sigma3x	sigma3y	t
22164.48255634626	2.845480622001208	2.970143698691375	0.6059908825
11082.24127817313	4.024117287103939	4.2004175008863305	1.211981765
7388.16085211542	4.928517009258784	5.144439791914008	1.8179726475
5541.120639086565	5.690961244002416	5.94028739738275	2.42396353
4432.896511269252	6.362688099453084	6.641443213216568	3.0299544125
3694.08042605771	6.969975596880257	7.275336524536614	3.635945295
3166.354650906608	7.528434086268583	7.858261584862939	4.2419361775
2770.5603195432823	8.048234574207878	8.400835001772661	4.84792706
2462.7202840384734	8.536441866003624	8.910431096074126	5.4539179425
2216.448255634626	8.998199803396446	9.392419065861617	6.059908825
2014.9529596678417	9.43739157140511	9.850852221997695	6.6658997075
1847.040213028855	9.857034018517568	10.288879583828017	7.27189059
1704.96019664202	10.259526285964522	10.709005401128017	7.8778814725
1583.177325453304	10.64681358823293	11.11326010998866	8.483872355
1477.632170423084	11.0204990609666	11.503317080874595	9.0898632375
1385.2801597716411	11.381922488004832	11.8805747947655	9.69585412
1303.79309154978	11.732217160159221	12.246216192967257	10.3018450025
1231.3601420192367	12.072351861311818	12.60125250265899	10.907835885
1166.5517134919082	12.403162477106527	12.946556230389824	11.513826767500001
1108.224127817313	12.725376198906169	13.282886426433135	12.11981765
