Cmax	sigma3x	sigma3y	t
20938.039344168148	1.472897937305704	3.80230487783027	1.6381600366666669
10469.019672084074	2.0829922389290836	5.377271126504942	3.2763200733333337
6979.34644805605	2.551134061776878	6.585785234269	4.91448011
5234.509836042037	2.945795874611408	7.60460975566054	6.5526401466666675
4187.60786883363	3.293499911734777	8.502212178007518	8.190800183333334
3489.673224028025	3.6078483895968225	9.313706797179691	9.82896022
2991.148477738307	3.8969216486908977	10.059953115586726	11.467120256666668
2617.2549180210185	4.165984477858167	10.754542253009884	13.105280293333335
2326.448816018684	4.4186938119171115	11.40691463349081	14.74344033
2093.803934416815	4.657712242849914	12.02394377231192	16.381600366666667
1903.4581221971048	4.885049812531431	12.610818618301135	18.019760403333333
1744.8366120140124	5.102268123553756	13.171570468538	19.65792044
1610.618411089858	5.3106090364808605	13.709405201963879	21.296080476666667
1495.5742388691535	5.51107944708399	14.22692213290022	22.934240513333336
1395.86928961121	5.704509181848247	14.726263469039864	24.57240055
1308.6274590105093	5.891591749222816	15.20921951132108	26.21056058666667
1231.6493731863618	6.072913771265796	15.67730463209546	27.848720623333335
1163.224408009342	6.248976716787249	16.131813379514824	29.48688066
1102.002070745692	6.4202132628650705	16.573862714993915	31.12504069666667
1046.9019672084075	6.586999823469554	17.004424356015036	32.763200733333335
