Cmax	sigma3x	sigma3y	t
58014.45946858009	1.5380296883601412	1.9716542773146206	0.3169563275
29007.229734290046	2.175102444611376	2.7883402192892595	0.633912655
19338.153156193363	2.663945563789091	3.415005383269419	0.9508689825000001
14503.614867145023	3.0760593767202824	3.9433085546292412	1.26782531
11602.89189371602	3.439138934586092	4.408752992203713	1.5847816375000001
9669.076578096681	3.767387945734173	4.829546928596742	1.9017379650000001
8287.779924082872	4.069244064435107	5.2165068891712645	2.2186942925
7251.807433572511	4.350204889222752	5.576680438578519	2.53565062
6446.051052064455	4.614089065080423	5.9149628319438605	2.8526069475
5801.44594685801	4.863676924177009	6.234918274727454	3.1695632750000002
5274.041769870918	5.101067392717834	6.53923745415193	3.4865196025
4834.538289048341	5.327891127578182	6.830010766538838	3.8034759300000003
4462.650728352315	5.545444904568388	7.108900594345759	4.1204322575
4143.889962041436	5.754780144530344	7.377254790878686	4.437388585
3867.630631238673	5.9567633689914095	7.6361841805181445	4.754344912500001
3625.9037167862557	6.152118753440565	7.8866171092584825	5.07130124
3412.615262857653	6.341458860444675	8.129338842569034	5.3882575675
3223.0255260322274	6.525307333834128	8.365020657867777	5.705213895
3053.392603609479	6.70411598372721	8.594241746414149	6.0221702225
2900.722973429005	6.878277869172184	8.817505984407426	6.3391265500000005
