Cmax	sigma3x	sigma3y	t
72703.86387293824	1.462062485698351	1.5406876900183466	0.6798801050000001
36351.93193646912	2.0676685963115276	2.17886142660522	1.3597602100000001
24234.621290979412	2.532366509069989	2.668549357707705	2.039640315
18175.96596823456	2.924124971396702	3.081375380036693	2.7195204200000003
14540.77277458765	3.269271105373827	3.4450824069781465	3.399400525
12117.310645489706	3.5813070620261875	3.773898693532248	4.07928063
10386.266267562605	3.8682537383947664	4.076276475807115	4.759160735
9087.98298411728	4.135337192623055	4.35772285321044	5.4390408400000005
8078.207096993139	4.386187457095053	4.622063070055039	6.118920945
7270.386387293825	4.623447536294146	4.872082263441441	6.79880105
6609.4421702671125	4.849112685115788	5.109882986910243	7.478681155
6058.655322744853	5.064733018139978	5.33709871541541	8.15856126
5592.604913302942	5.27154126011774	5.5550284658373155	8.838441365
5193.133133781303	5.470536899538304	5.764725476068826	9.51832147
4846.924258195883	5.662543658224333	5.96705776514783	10.198201575
4543.99149205864	5.848249942793404	6.162750760073386	10.878081680000001
4276.6978748787205	6.028238059787411	6.3524180820345215	11.557961785
4039.1035484965696	6.203005788934583	6.536584279815662	12.23784189
3826.519151207276	6.372982624300993	6.7157019443470904	12.917721995
3635.1931936469123	6.538542210747654	6.890164813956293	13.5976021
