Cmax	sigma3x	sigma3y	t
167814.4476487476	0.8209634460948922	1.2737198669564527	0.246072874
83907.2238243738	1.1610176396799499	1.8013119105138693	0.492145748
55938.1492162492	1.4219503997931864	2.206147524178447	0.738218622
41953.6119121869	1.6419268921897845	2.5474397339129053	0.984291496
33562.88952974952	1.8357300725106633	2.848124206806616	1.23036437
27969.0746081246	2.010941540409369	3.119963749288985	1.476437244
23973.492521249656	2.1720651138416653	3.3699460079290504	1.722510118
20976.80595609345	2.3220352793598997	3.6026238210277386	1.968582992
18646.04973874973	2.4628903382846765	3.821159600869358	2.214655866
16781.44476487476	2.5961143654007253	4.02785588058903	2.46072874
15255.85887715887	2.7228277172939186	4.224450886715953	2.706801614
13984.5373040623	2.8439007995863728	4.412295048356894	2.952874488
12908.803665288277	2.9600258001767505	4.59246229088866	3.1989473619999997
11986.746260624828	3.0717639423523435	4.765823348878332	3.445020236
11187.629843249842	3.179577754570568	4.933095832455868	3.6910931099999997
10488.402978046724	3.283853784379569	5.094879467825811	3.937165984
9871.438096985152	3.384919003020311	5.2516815489091275	4.183238858
9323.024869374865	3.4830529190398494	5.403935731541608	4.429311732
8832.339349934084	3.5784966978685357	5.552016182443248	4.675384606
8390.72238243738	3.6714601450213267	5.696248413613232	4.92145748
