Cmax	sigma3x	sigma3y	t
17206.83182723933	2.559393822075131	2.2960434170473105	0.559098277
8603.415913619665	3.6195294546325627	3.2470957401857707	1.118196554
5735.610609079777	4.433000136412026	3.9768638547099986	1.677294831
4301.7079568098325	5.118787644150262	4.592086834094621	2.236393108
3441.3663654478655	5.722978567352994	5.134109159808686	2.795491385
2867.8053045398883	6.269208914915668	5.624134799042225	3.354589662
2458.118832462761	6.771519560285892	6.074759880914144	3.9136879390000003
2150.8539784049162	7.239058909265125	6.4941914803715415	4.472786216
1911.8702030265915	7.678181466225393	6.888130251141932	5.031884493000001
1720.6831827239328	8.093513907121151	7.260726804505378	5.59098277
1564.257438839939	8.488548998576837	7.615114516711431	6.1500810470000005
1433.9026522699442	8.866000272824053	7.953727709419997	6.709179324
1323.6024482491794	9.228025659597643	8.278502270855626	7.268277600999999
1229.0594162313805	9.576374800031004	8.59100781174875	7.827375878000001
1147.1221218159553	9.912489649283131	8.892537916393403	8.386474155
1075.4269892024581	10.237575288300524	9.184173668189242	8.945572432
1012.1665780729015	10.552651065969059	9.466829529490163	9.504670709
955.9351015132958	10.858588363897688	9.741287220557314	10.063768986000001
905.6227277494382	11.156139027147816	10.008221224891038	10.622867263
860.3415913619664	11.445957134705989	10.268218319617372	11.18196554
