Cmax	sigma3x	sigma3y	t
17163.707465406216	3.0359218798660814	3.175653887920446	0.6666429975
8581.853732703108	4.293441896811835	4.491052797699943	1.333285995
5721.235821802072	5.25837094373807	5.500393881131853	1.9999289925000001
4290.926866351554	6.071843759732163	6.351307775840892	2.66657199
3432.741493081243	6.788527697759507	7.100977966401615	3.3332149875000003
2860.617910901036	7.43645950462299	7.778731625090652	3.9998579850000002
2451.958209343745	8.03229429394536	8.401990437452884	4.666500982500001
2145.463433175777	8.58688379362367	8.982105595399887	5.33314398
1907.0786072673573	9.107765639598243	9.526961663761337	5.9997869775
1716.3707465406214	9.6004279387169	10.042299346197684	6.666429975000001
1560.337042309656	10.069013768346213	10.532452410265458	7.3330729725
1430.308955450518	10.51674188747614	11.000787762263705	7.9997159700000005
1320.285189646632	10.946172006160182	11.44998292602374	8.6663589675
1225.9791046718724	11.359379527469555	11.882208827574923	9.333001965000001
1144.2471643604144	11.758074881108046	12.29925462123472	9.9996449625
1072.7317165878885	12.143687519464326	12.702615551681784	10.66628796
1009.6298509062481	12.517426581811584	13.093556410299385	11.3329309575
953.5393036336786	12.880325690435502	13.47315839309983	11.999573955
903.3530244950639	13.233276674820278	13.842354377107263	12.666216952500001
858.1853732703107	13.577055395519015	14.20195593280323	13.332859950000001
