Cmax	sigma3x	sigma3y	t
55324.40349186037	1.6456074898146973	1.767525397001086	0.36011460100000003
27662.201745930186	2.3272404304386898	2.4996583882778247	0.7202292020000001
18441.467830620128	2.85027578167494	3.0614437912742316	1.080343803
13831.100872965093	3.2912149796293946	3.535050794002172	1.4404584040000001
11064.880698372077	3.679690211508456	3.9523069396517307	1.800573005
9220.733915310064	4.030898666948275	4.3295353300629245	2.160687606
7903.486213122912	4.353868173674945	4.6764326364555835	2.520802207
6915.5504364825465	4.6544808608773796	4.999316776555649	2.8809168080000003
6147.155943540043	4.936822469444092	5.302576191003258	3.241031409
5532.4403491860385	5.203867802446781	5.589406076716779	3.60114601
5029.491226532762	5.457862595913946	5.862218549276571	3.961260611
4610.366957655032	5.70055156334988	6.122887582548463	4.321375212
4255.723345527721	5.933322183814476	6.372903449572259	4.681489813000001
3951.743106561456	6.157299419995685	6.613474457999657	5.041604414
3688.293566124026	6.373410402446513	6.8455964265838585	5.401719015
3457.7752182412733	6.582429959258789	7.070101588004344	5.7618336160000005
3254.3766759917876	6.785013498813536	7.287693907797266	6.121948217000001
3073.5779717700216	6.981721291316069	7.498975164833475	6.482062818
2911.8107100979146	7.173036748835903	7.704464585669344	6.842177419
2766.2201745930192	7.359380423016912	7.9046138793034615	7.20229202
