Cmax	sigma3x	sigma3y	t
13078.785327353311	2.549583643859499	3.462270593322758	0.880306199
6539.3926636766555	3.6056557675507186	4.896390029682587	1.760612398
4359.595109117769	4.416008409311247	5.99682857718666	2.640918597
3269.6963318383278	5.099167287718998	6.924541186645516	3.521224796
2615.757065470662	5.701042341991455	7.741872403168217	4.401530995
2179.7975545588847	6.245178984001603	8.480796305083926	5.281837194
1868.3979039076155	6.7455642684101065	9.160306961544066	6.162143393
1634.8481659191639	7.211311535101437	9.792780059365175	7.042449592
1453.1983697059231	7.648750931578498	10.386811779968276	7.922755791
1307.878532735331	8.062491399707588	10.948660950722479	8.80306199
1188.9804843048462	8.45601231830907	11.483052480732761	9.683368189000001
1089.8987772794424	8.832016818622494	11.99365715437332	10.563674388
1006.0604097964082	9.192654559019743	12.483394153756336	11.443980587000002
934.1989519538078	9.539668474244918	12.954630340516296	12.324286786
871.9190218235539	9.874494992430662	13.409316348002717	13.204592985000001
817.4240829595819	10.198334575437997	13.849082373291033	14.084899184
769.340313373724	10.512202664979876	14.27530736073966	14.965205383
726.5991848529616	10.816967302652158	14.689170089047764	15.845511582
688.3571224922795	11.113377451687752	15.091687631486513	16.725817781
653.9392663676655	11.40208468398291	15.483744806336434	17.60612398
