Cmax	sigma3x	sigma3y	t
43227.77090568425	2.4238511851339704	1.5198782439936784	0.34866115750000004
21613.885452842125	3.4278432191905606	2.149432425811664	0.6973223150000001
14409.256968561418	4.198233402638074	2.6325063399156177	1.0459834725000001
10806.942726421063	4.847702370267941	3.039756487987357	1.3946446300000002
8645.554181136851	5.419896017302986	3.398551071092876	1.7433057875000002
7204.628484280709	5.937198616018511	3.722926168941824	2.0919669450000002
6175.395843669178	6.412907450893664	4.021219856704823	2.4406281025000003
5403.471363210531	6.855686438381121	4.298864851623328	2.7892892600000003
4803.08565618714	7.271553555401911	4.559634731981035	3.1379504175000004
4322.777090568426	7.664890454321807	4.8062770171571545	3.4866115750000004
3929.7973550622046	8.039004928747643	5.040865862351267	3.8352727325000004
3602.3142421403545	8.396466805276148	5.265012679831235	4.1839338900000005
3325.213146591097	8.739319732094689	5.479998941181375	4.5325950475
3087.697921834589	9.069220691297293	5.6868636586359536	4.881256205000001
2881.8513937122834	9.387535273708979	5.886463127250489	5.2299173625
2701.7356816052657	9.695404740535881	6.079512975974714	5.578578520000001
2542.8100532755443	9.993794457085906	6.266618538064226	5.9272396775
2401.54282809357	10.283529657571682	6.4482972774349925	6.275900835000001
2275.1458371412764	10.565322370180274	6.6249956720544985	6.6245619925
2161.388545284213	10.839792034605972	6.797102142185752	6.973223150000001
